"PRPTY_LOCTN_NM","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","LOCTN_LABEL_1","LOCTN_LABEL_2","LOCTN_LABEL_2_ORIG","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
Fraser Valley G,"202211","999912",BC,Abbotsford - Mission,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
West Kelowna,"202211","999912",BC,Kelowna,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Greenwich,"202211","999912",NB,Saint John,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Quispamsis,"202211","999912",NB,Saint John,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Conception Bay South,"202211","999912",NL,St. Johns,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Pouch Cove,"202211","999912",NL,St. Johns,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Musquash,"202211","999912",NB,Saint John,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Petersville,"202211","999912",NB,Saint John,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Simonds,"202211","999912",NB,Saint John,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Brant,"202211","999912",ON,Brantford,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Central Elgin,"202211","999912",ON,London,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Nobleford,"202211","999912",AB,Lethbridge,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Central Okanagan,"202211","999912",BC,Kelowna,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Central Okanagan J,"202211","999912",BC,Kelowna,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Cambridge,"202211","999912",ON,Kitchener - Cambridge - Waterloo,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lincoln,"202211","999912",ON,St. Catharines - Niagara,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Niagara-on-the-Lake,"202211","999912",ON,St. Catharines - Niagara,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Puslinch,"202211","999912",ON,Guelph,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Stirling-Rawdon,"202211","999912",ON,Belleville,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wilmot,"202211","999912",ON,Kitchener - Cambridge - Waterloo,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Upper Sumas 6,"202211","999912",BC,Abbotsford - Mission,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Fort Folly 1,"202211","999912",NB,Moncton,,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mission,"200001","202210",BC,Vancouver,Vancouver,N,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
BECANCOUR,"200001","202210",QC,N/A,N/A,N,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
INNISFIL,"200001","202210",ON,Toronto,Toronto,N,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ST MARTINS,"200001","202210",NB,N/A,N/A,N,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
FORT ERIE,"200001","202210",ON,N/A,N/A,N,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ST THOMAS,"200001","202210",ON,N/A,N/A,N,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Beaumont,"201612","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L'Ange-Gardien,"201612","999912",QC,OTTAWA_GATINEAU,Ottawa - Gatineau,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N0C,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N0M,"200001","999912",ON,London,London,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N0R,"200001","999912",ON,Windsor,Windsor,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N2M,"200001","999912",ON,Kitchener - Cambridge - Waterloo,Kitchener,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N2T,"200001","999912",ON,Kitchener - Cambridge - Waterloo,Kitchener,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
R3M,"200001","999912",MB,Winnipeg,Winnipeg,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
R4A,"200001","999912",MB,Winnipeg,Winnipeg,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
RESERVE MINES,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
BUENA VISTA,"200001","999912",SK,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
CAMPBELL RIVER,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G0A3P0,"200001","999912",QC,Quebec,Quebec,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G0E,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G0J,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G0T,"200001","999912",QC,Quebec,Quebec,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G0Y,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
G1V,"200001","999912",QC,Quebec,Quebec,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N5H,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N5W,"200001","999912",ON,London,London,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N6G,"200001","999912",ON,London,London,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N6L,"200001","999912",ON,London,London,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N7W,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
S0M,"200001","999912",SK,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
S6X,"200001","999912",SK,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
S7R,"200001","999912",SK,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SAINTE-ADELE,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sainte-Marthe-sur-le-Lac,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sainte-Pétronille,"200001","999912",QC,Quebec,Quebec,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SAINT-FELICIEN,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V2P,"200001","999912",BC,Abbotsford - Mission,Abbotsford - Mission,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V3G,"200001","999912",BC,Abbotsford - Mission,Abbotsford - Mission,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V3M,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
V3X,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Cole Harbour 30,"200001","999912",NS,Halifax,Halifax,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Coquitlam,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Coquitlam 1,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
CUMBERLAND,"200001","999912",ON,OTTAWA_GATINEAU,Ottawa - Gatineau,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
DAWSON CREEK,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
DEER LAKE,"200001","999912",NL,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
K8P,"200001","999912",ON,Belleville,Belleville,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
KAMLOOPS,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
PORT PERRY,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
PORT STANLEY,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
PORT-AUX-BASQUES,"200001","999912",NL,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-François-d'Orléans,"200001","999912",QC,Quebec,Quebec,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Lambert-de-Lauzon,"200001","999912",QC,Quebec,Quebec,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SAINT-QUENTIN,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SHERBROOKE,"200001","999912",QC,Sherbrooke,Sherbrooke,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SOREL-TRACY,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mont-Royal,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mont-Saint-Hilaire,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
MOOSE JAW,"200001","999912",SK,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
N0J,"200001","999912",ON,London,London,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
QUESNEL,"200001","999912",BC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
R1A,"200001","999912",MB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
R2H,"200001","999912",MB,Winnipeg,Winnipeg,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
R2M,"200001","999912",MB,Winnipeg,Winnipeg,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
DIGBY,"200001","999912",NS,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
DOLBEAU-MISTASSINI,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E1H,"200001","999912",NB,Moncton,Moncton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E1N,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E4G,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
A0M,"200001","999912",NL,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
A1V,"200001","999912",NL,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Anmore,"200001","999912",BC,Vancouver,Vancouver,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H7P,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H8Y,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H9P,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
H9R,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hudson,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J0V 2B0,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J1G,"200001","999912",QC,Sherbrooke,Sherbrooke,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
J1M,"200001","999912",QC,Sherbrooke,Sherbrooke,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
K8V,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
KINGSVILLE,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
KIRKLAND LAKE,"200001","999912",ON,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L0B,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L0N 1E0,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L0S,"200001","999912",ON,Hamilton,Hamilton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L1E,"200001","999912",ON,Oshawa,Oshawa,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L1K,"200001","999912",ON,Oshawa,Oshawa,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
R3Y,"200001","999912",MB,Winnipeg,Winnipeg,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
R6M,"200001","999912",MB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Rocky View County,"200001","999912",AB,Calgary,Calgary,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
ROUYN-NORANDA,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saanich,"200001","999912",BC,Victoria,Victoria,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SAINT JOHN,"200001","999912",NB,Saint John,Saint John,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Amable,"200001","999912",QC,Montreal,Montreal,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
SAINTE-AGATHE-DES-MONTS,"200001","999912",QC,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E7H,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
E8M,"200001","999912",NB,N/A,N/A,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
East Gwillimbury,"200001","999912",ON,Toronto,Toronto,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T6K,"200001","999912",AB,Edmonton,Edmonton,Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
