"CITY_NM","METRPL_AREA_NM","METRPL_AREA_NM_ORIG","PROV","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
Upper Sumas 6,Abbotsford - Mission,Abbotsford - Mission,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sidney,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saanich,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Fraser Valley H,Abbotsford - Mission,Abbotsford - Mission,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Metchosin,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
T'Sou-ke,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Victoria,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
East Saanich 2,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
North Saanich,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Langford,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Central Saanich,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Juan de Fuca (Part 1),Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
New Songhees 1A,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Esquimalt,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Cole Bay 3,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
South Saanich 1,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Matsqui Main 2,Abbotsford - Mission,Abbotsford - Mission,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Capital H (Part 1),Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Colwood,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Fraser Valley G,Abbotsford - Mission,Abbotsford - Mission,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Highlands,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Chilliwack,Abbotsford - Mission,Abbotsford - Mission,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Union Bay 4,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sooke,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Becher Bay 1,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Oak Bay,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
View Royal,Victoria,Victoria,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Simonds,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Oliver Paipoonge,Thunder Bay,Thunder Bay,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Thunder Bay,Thunder Bay,Thunder Bay,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Dieppe,Moncton,Moncton,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Musquash,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Paul,Moncton,Moncton,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Riverview,Moncton,Moncton,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Petersville,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Grand Bay-Westfield,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Norton,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Rothesay,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
St. Martins,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Fort William 52,Thunder Bay,Thunder Bay,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Westfield,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lepreau,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Neebing,Thunder Bay,Thunder Bay,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Dorchester,Moncton,Moncton,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hampton,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Coverdale,Moncton,Moncton,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hillsborough,Moncton,Moncton,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Memramcook,Moncton,Moncton,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Kingston,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Upham,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint Martins,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Greenwich,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Moncton,Moncton,Moncton,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Quispamsis,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint John,Saint John,Saint John,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Gillies,Thunder Bay,Thunder Bay,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
O'Connor,Thunder Bay,Thunder Bay,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Conmee,Thunder Bay,Thunder Bay,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Salisbury,Moncton,Moncton,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Fort Folly 1,Moncton,Moncton,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Elgin,Moncton,Moncton,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hopewell,Moncton,Moncton,NB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Shuniah,Thunder Bay,Thunder Bay,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Brantford,Brantford,Brantford,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Six Nations (Part) 40,Brantford,Brantford,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Brant,Brantford,Brantford,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
North Hatley,Sherbrooke,Sherbrooke,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Val-Joli,Sherbrooke,Sherbrooke,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Magog,Sherbrooke,Sherbrooke,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Compton,Sherbrooke,Sherbrooke,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Stoke,Sherbrooke,Sherbrooke,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hatley,Sherbrooke,Sherbrooke,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Waterville,Sherbrooke,Sherbrooke,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Denis-de-Brompton,Sherbrooke,Sherbrooke,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Orford,Sherbrooke,Sherbrooke,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sherbrooke,Sherbrooke,Sherbrooke,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Ascot Corner,Sherbrooke,Sherbrooke,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Ritchot,Winnipeg,Winnipeg,MB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
West St. Paul,Winnipeg,Winnipeg,MB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Guelph/Eramosa,Guelph,Guelph,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Taché,Winnipeg,Winnipeg,MB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Macdonald,Winnipeg,Winnipeg,MB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Brokenhead 4,Winnipeg,Winnipeg,MB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
St. François Xavier,Winnipeg,Winnipeg,MB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wallace Hills 14A,Halifax,Halifax,NS,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
St. Clements,Winnipeg,Winnipeg,MB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Halifax,Halifax,Halifax,NS,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sheet Harbour 36,Halifax,Halifax,NS,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Puslinch,Guelph,Guelph,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Winnipeg,Winnipeg,Winnipeg,MB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Guelph,Guelph,Guelph,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
East St. Paul,Winnipeg,Winnipeg,MB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Springfield,Winnipeg,Winnipeg,MB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Cole Harbour 30,Halifax,Halifax,NS,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Beaver Lake 17,Halifax,Halifax,NS,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Shubenacadie 13,Halifax,Halifax,NS,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Headingley,Winnipeg,Winnipeg,MB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Rosser,Winnipeg,Winnipeg,MB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Whitby,Oshawa,Oshawa,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Oshawa,Oshawa,Oshawa,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Clarington,Oshawa,Oshawa,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Val-des-Bois,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Pontiac,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lochaber,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Russell,OTTAWA_GATINEAU,Ottawa - Gatineau,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Windsor,Windsor,Windsor,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lakeshore,Windsor,Windsor,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Clarence-Rockland,OTTAWA_GATINEAU,Ottawa - Gatineau,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Bowman,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Tecumseh,Windsor,Windsor,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
LaSalle,Windsor,Windsor,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Cantley,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Trois-Rivières,Trois-Rivieres,Trois-Rivières,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
La Pêche,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Bécancour,Trois-Rivieres,Trois-Rivières,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Denholm,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Luc-de-Vincennes,Trois-Rivieres,Trois-Rivières,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Thurso,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Chelsea,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Val-des-Monts,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Notre-Dame-de-la-Salette,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
North Grenville,OTTAWA_GATINEAU,Ottawa - Gatineau,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Ottawa,OTTAWA_GATINEAU,Ottawa - Gatineau,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mayo,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Champlain,Trois-Rivieres,Trois-Rivières,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lochaber-Partie-Ouest,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
L'Ange-Gardien,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Gatineau,OTTAWA_GATINEAU,Ottawa - Gatineau,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Yamachiche,Trois-Rivieres,Trois-Rivières,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Amherstburg,Windsor,Windsor,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wôlinak,Trois-Rivieres,Trois-Rivières,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Saint-Maurice,Trois-Rivieres,Trois-Rivières,QC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Innisfil,Barrie,Barrie,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Kingston,Kingston,Kingston,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
South Frontenac,Kingston,Kingston,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Bay Bulls,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Coaldale,Lethbridge,Lethbridge,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Witless Bay,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Nobleford,Lethbridge,Lethbridge,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Flatrock,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Petty Harbour-Maddox Cove,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Loyalist,Kingston,Kingston,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Frontenac Islands,Kingston,Kingston,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Bauline,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Logy Bay-Middle Cove-Outer Cove,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Barons,Lethbridge,Lethbridge,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Torbay,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Picture Butte,Lethbridge,Lethbridge,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Portugal Cove-St. Philip's,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lethbridge County,Lethbridge,Lethbridge,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Pouch Cove,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Springwater,Barrie,Barrie,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Paradise,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Barrie,Barrie,Barrie,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Mount Pearl,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Coalhurst,Lethbridge,Lethbridge,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Lethbridge,Lethbridge,Lethbridge,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Conception Bay South,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
St. John's,St. Johns,St. John's,NL,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Central Elgin,London,London,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Cavan Monaghan,Peterborough,Peterborough,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Douro-Dummer,Peterborough,Peterborough,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Curve Lake First Nation 35,Peterborough,Peterborough,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
St. Thomas,London,London,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
London,London,London,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Strathroy-Caradoc,London,London,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Peterborough,Peterborough,Peterborough,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Southwold,London,London,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Selwyn,Peterborough,Peterborough,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Adelaide-Metcalfe,London,London,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Middlesex Centre,London,London,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Otonabee-South Monaghan,Peterborough,Peterborough,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Thames Centre,London,London,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Hiawatha First Nation,Peterborough,Peterborough,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Barnston Island 3,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wabamun 133B,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Langley,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Seba Beach,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Vancouver,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Musqueam 2,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Port Coquitlam,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Semiahmoo,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Devon,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Musqueam 4,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wahnapitei 11,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,ON,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
White Rock,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Sundance Beach,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Wabamun,Edmonton,Edmonton,AB,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
Coquitlam,Vancouver,Vancouver,BC,"200001","999912",Y,2023-03-01-00.00.00.000000,2023-03-01-00.00.00.000000
